quarter,month_in_quarter,era,revision,n_obs,rmse,mae,mean_revision,std_revision
1,1,0,0,2,0.024441298852634484,0.024439305345947737,-0.024439305345947737,0.00044146078267959325
1,1,0,1,2,0.02489951549538506,0.02489884826903399,-0.02489884826903399,0.00025778588224970256
1,1,0,2,2,0.015962501275838283,0.015958304539650747,-0.015958304539650747,0.0005176160756800109
1,1,0,3,2,0.02012757783162517,0.02012642339795523,-0.02012642339795523,0.00030486250792529474
1,2,0,0,3,0.0001786508277773999,0.00015213402912728213,-0.00015213402912728213,0.00011470411139350766
1,2,0,1,3,0.00011161094749116358,0.00008898154745710467,-0.00008581895861740445,0.00008739659554324326
1,2,0,2,3,0.00008287613724159244,0.00006425623737508583,-0.00006425623737508583,0.00006410448598753314
1,2,0,3,3,0.00007695564982263969,0.00006150459133991149,-0.00006150459133991149,0.00005664835324705251
1,3,0,0,3,0.00016151308436324904,0.00014973180088636204,-0.00014973180088636204,0.00007416398273950269
1,3,0,1,3,0.00007458254443498331,0.00006430756601716325,0.000013948901617766296,0.00008973280401882695
1,3,0,2,3,0.000055451290865489566,0.00003843648523490136,0.000024848349706729778,0.00006071332442925344
1,3,0,3,3,0.00006418624864539222,0.00004003862826825374,0.000033898093543408926,0.00006675470510709804
2,1,0,0,3,0.00009739398525008,0.00007890980939132912,-0.000019639738775130883,0.00011683237366246624
2,1,0,1,3,0.00010582583950985754,0.00008215945681122605,-0.00008066671189332908,0.00008389269843333894
2,1,0,2,3,0.0001404896065996029,0.0001338568008281508,-6.547691540959022e-6,0.00017187695001655534
2,2,0,0,3,0.00007180079023564218,0.00006509584033468722,-0.00006509584033468722,0.00003710562726023368
2,2,0,1,3,0.00007941344010247488,0.000057004189363496494,-0.000057004189363496494,0.00006771650681982936
2,2,0,2,3,0.00007447859130078306,0.000052574367698454694,-0.000036301761748921045,0.00007964837715930236
2,3,0,0,3,0.00021031350926678467,0.00019947730363867322,-0.00019947730363867322,0.00008161413033128345
2,3,0,1,3,0.00007545343154884983,0.00006224409670293103,-0.000014726999263932802,0.00009063389949552891
2,3,0,2,3,0.00006337183811565744,0.00005162449261142399,0.00002468769887720157,0.00007148259288427197
3,1,0,0,3,0.00021390344279727675,0.00021270301954068316,-0.00021270301954068316,0.000027715744229686628
3,1,0,1,3,0.00007787908198970168,0.00006211691035140632,-0.00004231910346952361,0.00008007101435377003
3,2,0,0,3,0.000055393806659040254,0.00005538642865232646,-0.00005538642865232646,1.1072515431575215e-6
3,2,0,1,3,0.00003904023361917384,0.00003201070060458259,-0.00003201070060458259,0.000027371195292956603
3,3,0,0,3,0.00017063500499952215,0.00014146054761946894,-0.00012608960511191944,0.00014080686993488904
3,3,0,1,3,0.00012179285463424124,0.0000957264716892799,0.0000379664331179678,0.00014173240312075584
4,1,0,0,3,0.00034588327380631406,0.0002261450333088296,0.00020177202828541851,0.0003440711140895772
4,2,0,0,3,0.00008968511456695314,0.00005641935859775534,-0.00005202698652695403,0.0000894702110856875
4,3,0,0,3,0.00020406628000007728,0.00019418788682360835,-0.00011004752423045734,0.0002104729996121243
1,1,1,0,3,0.03793387232571998,0.035568853053246606,-0.035568853053246606,0.016147849489974216
1,1,1,1,3,0.03843568036006377,0.03616052277758305,-0.03616052277758305,0.01595547479047034
1,1,1,2,3,0.02499517942883973,0.02430123229375525,-0.02430123229375525,0.007163355046851986
1,1,1,3,3,0.02148331574578984,0.021331206115280093,-0.021331206115280093,0.0031255002241414535
1,2,1,0,3,0.00015241629881408117,0.00014372354763321957,-0.00014372354763321957,0.00006214020437572943
1,2,1,1,3,0.00009751110455666119,0.00007730369071682712,-0.00007612938822099125,0.00007462638703191094
1,2,1,2,3,0.00004262206514410771,0.00003941903443364462,-0.00003941903443364462,0.000019853721117250346
1,2,1,3,3,0.000040996327393026045,0.000039199968682623876,-0.000039199968682623876,0.00001470006709155531
1,3,1,0,3,0.0004875323854735056,0.0004851008675193687,-0.0004851008675193687,0.000059560581143605595
1,3,1,1,3,0.000175589672034641,0.0001588316367181856,-0.0001588316367181856,0.00009168623753858945
1,3,1,2,3,0.00008141912699847048,0.00006654873072046523,-0.00006654873072046523,0.00005745007416037085
1,3,1,3,3,0.000018046184131386777,0.000016815930560317344,-5.085428441612787e-6,0.000021206243630207767
2,1,1,0,3,0.00018408806818885618,0.00013968569345064927,0.00013308244168482494,0.00015577618831857834
2,1,1,1,3,0.00020965053852485478,0.00013997639199499665,-0.0001089269770388294,0.00021939095916973412
2,1,1,2,3,0.0004012640823151358,0.0003093389803249617,-0.0003093389803249617,0.0003130229839989095
2,2,1,0,3,0.00013814689630235866,0.00013773324581656254,-0.00013773324581656254,0.000013083460253827714
2,2,1,1,3,0.000018793421970394967,0.00001501008196017987,-0.000014205464415439906,0.000015069712510479165
2,2,1,2,3,0.000014435533224498401,0.000011207121152878585,-9.826328568015205e-6,0.000012951518425401256
2,3,1,0,3,0.002343877264939862,0.0016672971126592273,-0.0016672971126592273,0.0020176276804282443
2,3,1,1,3,0.0004396044896347251,0.00036406969182086374,-0.00036406969182086374,0.00030175826452096157
2,3,1,2,3,0.000034302906101856786,0.00003416388590634275,-0.00003416388590634275,3.778544722085241e-6
3,1,1,0,3,0.002057597893065306,0.0013482930228126595,0.0010130294156335633,0.002193449506806998
3,1,1,1,3,0.0004908185426507024,0.0004375697481429815,2.7459747122075364e-6,0.0006011180850290224
3,2,1,0,3,0.00018675598498508344,0.0001507797741577832,-0.0001507797741577832,0.00013496253720575538
3,2,1,1,3,0.000014183267623230908,0.00001153505542639266,-0.00001153505542639266,0.000010107490547774908
3,3,1,0,3,0.0003778600104567686,0.0003764917667273456,-0.0003764917667273456,0.00003934724429190499
3,3,1,1,3,0.00003652911334830484,0.000025015431760995927,-0.00002364942959687255,0.0000340972271986126
4,1,1,0,3,0.0007216639856392616,0.0005868551224115967,0.0005857590407636337,0.0005162633838445433
4,2,1,0,3,0.00007583420068874376,0.00007264434294877257,-0.000020090560950573415,0.00008955888025309349
4,3,1,0,3,0.0002906239476373648,0.00026272841259296814,-0.00026272841259296814,0.00015216468129975906
